ORIGIN,FUNCTION_IN_ORIGIN,FUNCTION_AT_DESTINATION_1,FUNCTION_AT_DESTINATION_2,FUNCTION_AT_DESTINATION_3,Family,Subfamily,Activity description,Glycan_annotation,Substrate annotation taken from characterized enzyme description CAZy.org,dbCAN3_Substrate_curated,dbCAN3_Substrate_high_level,Agreement,Comments,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage",DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein,Hemicellulose,Cellulose,Mannans_and_Heteromannans,Chitin",GH5,GH5,"endo-β-1,4-glucanase / cellulase (EC 3.2.1.4); endo-β-1,4-xylanase (EC 3.2.1.8); β-glucosidase (EC 3.2.1.21); β-mannosidase (EC 3.2.1.25); β-glucosylceramidase (EC 3.2.1.45); glucan β-1,3-glucosidase (EC 3.2.1.58); exo-β-1,4-glucanase / cellodextrinase (EC 3.2.1.74); glucan endo-1,6-β-glucosidase (EC 3.2.1.75); mannan endo-β-1,4-mannosidase (EC 3.2.1.78); cellulose β-1,4-cellobiosidase (EC 3.2.1.91); steryl β-glucosidase (EC 3.2.1.104); endoglycoceramidase (EC 3.2.1.123); β-primeverosidase (EC 3.2.1.149); xyloglucan-specific endo-β-1,4-glucanase (EC 3.2.1.151); endo-β-1,6-galactanase (EC 3.2.1.164); β-1,3-mannanase (EC 3.2.1.-); arabinoxylan-specific endo-β-1,4-xylanase (EC 3.2.1.-); mannan transglycosylase (EC 2.4.1.-); lichenase / endo-β-1,3-1,4-glucanase (EC 3.2.1.73); β-glycosidase (EC 3.2.1.-); endo-β-1,3-glucanase / laminarinase (EC 3.2.1.39); β-N-acetylhexosaminidase (EC 3.2.1.52); chitosanase (EC 3.2.1.132); β-D-galactofuranosidase (EC 3.2.1.146); β-galactosylceramidase (EC 3.2.1.46); ; β-rutinosidase /α-L-rhamnose-(1,6)-β-D-glucosidase (EC 3.2.1.-); α-L-arabinofuranosidase (EC 3.2.1.55); glucomannan-specific endo-β-1,4-glucanase (EC 3.2.1.-); hesperidin 6-O-α-L-rhamnosyl-β-glucosidase (EC 3.2.1.168)","beta-glucan,xyloglucan,glucomannan,galactomannan,galactan,arabinan,arabinogalactan,xylan,arabinoxylan,beta-mannan,chitosan,cellulose,rhamnogalacturonan,lichenin,laminarin",yes,"arabinan,arabinogalactan (bacteria),arabinogalactan,laminarin (algae), pustulan (fungi),cellulose, beta-glucan,beta-1,3-glucans (laminarin),beta-glucan(contains both (1->3)- and (1->4)-bonds),lichenin and cereal beta-glucan,beta-glycoside,beta-mannan (plant),beta-mannan,glucomannan,N-glycan, beta-mannan,mannans, galactomannans and glucomannan,cellulose and similar substrates,cellulose,chitin,chitosan,sterylglucoside (fungi),glycosphingolipids,fungus-specific glucosylceramide (glycolipid),glycosphingolipid, galactolipids,rutin (polyphenol),naringenin (flavonoid) and tea aroma,arabinoxylans,xylan,xyloglucan","arabinan,arabinogalactan protein,beta-glucan,beta-glycan,beta-mannan,cellulose,chitin,chitosan,glycolipid,polyphenol,xylan,xyloglucan","Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae","Structural,Structural_or_Storage,Storage",DF,NSP,"Hemicellulose,Cellulose,Mannans_and_Heteromannans",GH5,GH5_1,"endo-β-1,4-glucanase (EC 3.2.1.4);lichenase / endo-β-1,3-1,4-glucanase (EC 3.2.1.73);exo-β-1,4-glucanase / cellodextrinase (EC 3.2.1.74)","beta-glucan,xyloglucan,glucomannan,cellulose,lichenin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Animal","Structural,Structural_or_Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans,Chitin",GH5,GH5_2,"b-glycosidase (EC 3.2.1.-);chitosanase (EC 3.2.1.132);endo-b-1,4-glucanase (EC 3.2.1.4);endo-b-1,4-xylanase (EC 3.2.1.8)","beta-glucan,xyloglucan,glucomannan,xylan,arabinoxylan,chitosan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae","Structural,Structural_or_Storage,Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH5,GH5_4,"b-glycosidase (EC 3.2.1.-);glucomannan-specific endo-b-1,4-glucanase (EC 3.2.1.-);[retaining] exo-xyloglucanase (EC 3.2.1.-);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);endo-b-1,4-glucanase (EC 3.2.1.4);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);endo-b-1,4-xylanase (EC 3.2.1.8)","beta-glucan,xyloglucan,glucomannan,xylan,arabinoxylan,lichenin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH5,GH5_5,"endo-b-1,4-glucanase (EC 3.2.1.4)","beta-glucan,xyloglucan,glucomannan",yes,,,,,,,,,,,,,,,,
"Plant,Fungi,Bacteria","Structural,Structural_or_Storage",DF,NSP,Mannans_and_Heteromannans,GH5,GH5_7,"[retaining] b-1,4-mannan transglycosylase (EC 2.4.1.-);b-mannosidase (EC 3.2.1.25);endo-b-1,4-mannanase (EC 3.2.1.78)","beta-mannan,glucomannan,galactomannan",yes,,,,,,,,,,,,,,,,
"Plant,Fungi,Bacteria","Structural,Structural_or_Storage",DF,NSP,Mannans_and_Heteromannans,GH5,GH5_8,"endo-b-1,4-mannanase (EC 3.2.1.78)","beta-mannan,glucomannan,galactomannan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae","Structural,Structural_or_Storage",DF,NSP,Hemicellulose,GH5,GH5_9,"b-glucosidase (EC 3.2.1.21);exo-b-1,3-glucanase (EC 3.2.1.58);endo-b-1,6-glucanase (EC 3.2.1.75)",beta-glucan,yes,,,,,,,,,,,,,,,,
"Plant,Fungi,Bacteria","Structural,Structural_or_Storage",DF,NSP,Mannans_and_Heteromannans,GH5,GH5_10,"endo-b-1,4-mannanase (EC 3.2.1.78)","beta-mannan,glucomannan,galactomannan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage",DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein,Hemicellulose,Cellulose,Mannans_and_Heteromannans,Chitin",GH5,GH5_11,"NO KNOWN ACTIVITY; [retaining] b-1,4-mannan transglycosylase (EC 2.4.1.-);[retaining] arabinoxylan-specific endo-b-1,4-xylanase (EC 3.2.1.-);[retaining] exo-xyloglucanase (EC 3.2.1.-);b-1,3-mannanase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);b-rutinosidase /a-L-rhamnose-(1,6)-b-D-glucosidase (EC 3.2.1.-);glucomannan-specific endo-b-1,4-glucanase (EC 3.2.1.-);exo-b-1,4-mannobiohydrolase / mannobiose-producing exo-b-mannanase (EC 3.2.1.100);steryl b-glucosidase (EC 3.2.1.104);endoglycosylceramidase (EC 3.2.1.123);chitosanase (EC 3.2.1.132);b-D-galactofuranosidase (EC 3.2.1.146);b-primeverosidase (EC 3.2.1.149);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);endo-b-1,6-galactanase (EC 3.2.1.164);hesperidin 6-O-a-L-rhamnosyl-b-glucosidase (EC 3.2.1.168);b-glucosidase (EC 3.2.1.21);b-mannosidase (EC 3.2.1.25);xylan 1,4-b-xylosidase (EC 3.2.1.37);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,4-glucanase (EC 3.2.1.4);b-glucosylceramidase (EC 3.2.1.45);b-galactosylceramidase (EC 3.2.1.46);b-N-acetylhexosaminidase (EC 3.2.1.52);a-L-arabinofuranosidase (EC 3.2.1.55);exo-b-1,3-glucanase (EC 3.2.1.58);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);exo-b-1,4-glucanase / cellodextrinase (EC 3.2.1.74);endo-b-1,6-glucanase (EC 3.2.1.75);endo-b-1,4-mannanase (EC 3.2.1.78);endo-b-1,4-xylanase (EC 3.2.1.8)","beta-glucan,xyloglucan,glucomannan,galactomannan,galactan,arabinan,arabinogalactan,xylan,arabinoxylan,beta-mannan,chitosan,cellulose,rhamnogalacturonan,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,Hemicellulose,GH5,GH5_12,steryl b-glucosidase (EC 3.2.1.104);b-glucosidase (EC 3.2.1.21);b-glucosylceramidase (EC 3.2.1.45),beta-glucan,yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein,Hemicellulose",GH5,GH5_13,b-D-galactofuranosidase (EC 3.2.1.146);a-L-arabinofuranosidase (EC 3.2.1.55),"galactan,arabinan,arabinogalactan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,Hemicellulose,GH5,GH5_14,"b-glucosidase (EC 3.2.1.21);exo-b-1,3-glucanase (EC 3.2.1.58)",beta-glucan,yes,,,,,,,,,,,,,,,,
"Fungi,Algae","Structural,Structural_or_Storage",DF,NSP,Hemicellulose,GH5,GH5_15,"endo-b-1,6-glucanase (EC 3.2.1.75)",beta-glucan,yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein",GH5,GH5_16,"endo-b-1,6-galactanase (EC 3.2.1.164)","galactan,arabinogalactan",yes,,,,,,,,,,,,,,,,
"Plant,Fungi,Bacteria","Structural,Structural_or_Storage",DF,NSP,Mannans_and_Heteromannans,GH5,GH5_17,"endo-b-1,4-mannanase (EC 3.2.1.78)","beta-mannan,glucomannan,galactomannan",yes,,,,,,,,,,,,,,,,
"Plant,Fungi,Bacteria,Animal","Structural,Structural_or_Storage","DF,Mucin",NSP,"Mannans_and_Heteromannans,Glycoprotein",GH5,GH5_18,b-mannosidase (EC 3.2.1.25),"beta-mannan,glucomannan,galactomannan,mucin_glycan",yes,,,,,,,,,,,,,,,,
"Plant,Fungi,Bacteria","Structural,Structural_or_Storage",DF,NSP,Mannans_and_Heteromannans,GH5,GH5_19,"exo-b-1,4-mannobiohydrolase / mannobiose-producing exo-b-mannanase (EC 3.2.1.100);b-mannosidase (EC 3.2.1.25)","beta-mannan,glucomannan,galactomannan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage",DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein,Hemicellulose,Cellulose,Mannans_and_Heteromannans,Chitin",GH5,GH5_20,"NO KNOWN ACTIVITY; [retaining] b-1,4-mannan transglycosylase (EC 2.4.1.-);[retaining] arabinoxylan-specific endo-b-1,4-xylanase (EC 3.2.1.-);[retaining] exo-xyloglucanase (EC 3.2.1.-);b-1,3-mannanase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);b-rutinosidase /a-L-rhamnose-(1,6)-b-D-glucosidase (EC 3.2.1.-);glucomannan-specific endo-b-1,4-glucanase (EC 3.2.1.-);exo-b-1,4-mannobiohydrolase / mannobiose-producing exo-b-mannanase (EC 3.2.1.100);steryl b-glucosidase (EC 3.2.1.104);endoglycosylceramidase (EC 3.2.1.123);chitosanase (EC 3.2.1.132);b-D-galactofuranosidase (EC 3.2.1.146);b-primeverosidase (EC 3.2.1.149);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);endo-b-1,6-galactanase (EC 3.2.1.164);hesperidin 6-O-a-L-rhamnosyl-b-glucosidase (EC 3.2.1.168);b-glucosidase (EC 3.2.1.21);b-mannosidase (EC 3.2.1.25);xylan 1,4-b-xylosidase (EC 3.2.1.37);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,4-glucanase (EC 3.2.1.4);b-glucosylceramidase (EC 3.2.1.45);b-galactosylceramidase (EC 3.2.1.46);b-N-acetylhexosaminidase (EC 3.2.1.52);a-L-arabinofuranosidase (EC 3.2.1.55);exo-b-1,3-glucanase (EC 3.2.1.58);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);exo-b-1,4-glucanase / cellodextrinase (EC 3.2.1.74);endo-b-1,6-glucanase (EC 3.2.1.75);endo-b-1,4-mannanase (EC 3.2.1.78);endo-b-1,4-xylanase (EC 3.2.1.8)","beta-glucan,xyloglucan,glucomannan,galactomannan,galactan,arabinan,arabinogalactan,xylan,arabinoxylan,beta-mannan,chitosan,cellulose,rhamnogalacturonan,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Hemicellulose,GH5,GH5_21,"endo-b-1,4-xylanase (EC 3.2.1.8)","xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH5,GH5_22,"xylan 1,4-b-xylosidase (EC 3.2.1.37);endo-b-1,4-glucanase (EC 3.2.1.4)","beta-glucan,xyloglucan,glucomannan,xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,GH5,GH5_23,"b-rutinosidase /a-L-rhamnose-(1,6)-b-D-glucosidase (EC 3.2.1.-);b-primeverosidase (EC 3.2.1.149);hesperidin 6-O-a-L-rhamnosyl-b-glucosidase (EC 3.2.1.168)",rhamnogalacturonan,yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage",DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein,Hemicellulose,Cellulose,Mannans_and_Heteromannans,Chitin",GH5,GH5_24,"NO KNOWN ACTIVITY; [retaining] b-1,4-mannan transglycosylase (EC 2.4.1.-);[retaining] arabinoxylan-specific endo-b-1,4-xylanase (EC 3.2.1.-);[retaining] exo-xyloglucanase (EC 3.2.1.-);b-1,3-mannanase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);b-rutinosidase /a-L-rhamnose-(1,6)-b-D-glucosidase (EC 3.2.1.-);glucomannan-specific endo-b-1,4-glucanase (EC 3.2.1.-);exo-b-1,4-mannobiohydrolase / mannobiose-producing exo-b-mannanase (EC 3.2.1.100);steryl b-glucosidase (EC 3.2.1.104);endoglycosylceramidase (EC 3.2.1.123);chitosanase (EC 3.2.1.132);b-D-galactofuranosidase (EC 3.2.1.146);b-primeverosidase (EC 3.2.1.149);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);endo-b-1,6-galactanase (EC 3.2.1.164);hesperidin 6-O-a-L-rhamnosyl-b-glucosidase (EC 3.2.1.168);b-glucosidase (EC 3.2.1.21);b-mannosidase (EC 3.2.1.25);xylan 1,4-b-xylosidase (EC 3.2.1.37);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,4-glucanase (EC 3.2.1.4);b-glucosylceramidase (EC 3.2.1.45);b-galactosylceramidase (EC 3.2.1.46);b-N-acetylhexosaminidase (EC 3.2.1.52);a-L-arabinofuranosidase (EC 3.2.1.55);exo-b-1,3-glucanase (EC 3.2.1.58);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);exo-b-1,4-glucanase / cellodextrinase (EC 3.2.1.74);endo-b-1,6-glucanase (EC 3.2.1.75);endo-b-1,4-mannanase (EC 3.2.1.78);endo-b-1,4-xylanase (EC 3.2.1.8)","beta-glucan,xyloglucan,glucomannan,galactomannan,galactan,arabinan,arabinogalactan,xylan,arabinoxylan,beta-mannan,chitosan,cellulose,rhamnogalacturonan,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae","Structural,Structural_or_Storage,Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH5,GH5_25,"endo-b-1,4-glucanase (EC 3.2.1.4);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);endo-b-1,4-mannanase (EC 3.2.1.78);endo-b-1,4-xylanase (EC 3.2.1.8)","beta-glucan,xyloglucan,glucomannan,galactomannan,xylan,arabinoxylan,beta-mannan,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage,Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH5,GH5_26,"b-glycosidase (EC 3.2.1.-);endo-b-1,4-glucanase (EC 3.2.1.4);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73)","beta-glucan,xyloglucan,glucomannan,lichenin",yes,,,,,,,,,,,,,,,,
Animal,Unknown,Mucin,Unknown,Unknown,GH5,GH5_27,endoglycosylceramidase (EC 3.2.1.123),mucin_glycan,yes,,,,,,,,,,,,,,,,
Animal,Unknown,Mucin,Unknown,Unknown,GH5,GH5_28,endoglycosylceramidase (EC 3.2.1.123),mucin_glycan,yes,,,,,,,,,,,,,,,,
Animal,Unknown,Mucin,Unknown,Unknown,GH5,GH5_29,endoglycosylceramidase (EC 3.2.1.123);b-galactosylceramidase (EC 3.2.1.46),mucin_glycan,yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage",DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein,Hemicellulose,Cellulose,Mannans_and_Heteromannans,Chitin",GH5,GH5_30,"NO KNOWN ACTIVITY; [retaining] b-1,4-mannan transglycosylase (EC 2.4.1.-);[retaining] arabinoxylan-specific endo-b-1,4-xylanase (EC 3.2.1.-);[retaining] exo-xyloglucanase (EC 3.2.1.-);b-1,3-mannanase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);b-rutinosidase /a-L-rhamnose-(1,6)-b-D-glucosidase (EC 3.2.1.-);glucomannan-specific endo-b-1,4-glucanase (EC 3.2.1.-);exo-b-1,4-mannobiohydrolase / mannobiose-producing exo-b-mannanase (EC 3.2.1.100);steryl b-glucosidase (EC 3.2.1.104);endoglycosylceramidase (EC 3.2.1.123);chitosanase (EC 3.2.1.132);b-D-galactofuranosidase (EC 3.2.1.146);b-primeverosidase (EC 3.2.1.149);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);endo-b-1,6-galactanase (EC 3.2.1.164);hesperidin 6-O-a-L-rhamnosyl-b-glucosidase (EC 3.2.1.168);b-glucosidase (EC 3.2.1.21);b-mannosidase (EC 3.2.1.25);xylan 1,4-b-xylosidase (EC 3.2.1.37);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,4-glucanase (EC 3.2.1.4);b-glucosylceramidase (EC 3.2.1.45);b-galactosylceramidase (EC 3.2.1.46);b-N-acetylhexosaminidase (EC 3.2.1.52);a-L-arabinofuranosidase (EC 3.2.1.55);exo-b-1,3-glucanase (EC 3.2.1.58);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);exo-b-1,4-glucanase / cellodextrinase (EC 3.2.1.74);endo-b-1,6-glucanase (EC 3.2.1.75);endo-b-1,4-mannanase (EC 3.2.1.78);endo-b-1,4-xylanase (EC 3.2.1.8)","beta-glucan,xyloglucan,glucomannan,galactomannan,galactan,arabinan,arabinogalactan,xylan,arabinoxylan,beta-mannan,chitosan,cellulose,rhamnogalacturonan,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Fungi,Bacteria","Structural,Structural_or_Storage",DF,NSP,Mannans_and_Heteromannans,GH5,GH5_31,"β-1,3-mannanase (EC 3.2.1.-)","beta-mannan,glucomannan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage",DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein,Hemicellulose,Cellulose,Mannans_and_Heteromannans,Chitin",GH5,GH5_32,"NO KNOWN ACTIVITY; [retaining] b-1,4-mannan transglycosylase (EC 2.4.1.-);[retaining] arabinoxylan-specific endo-b-1,4-xylanase (EC 3.2.1.-);[retaining] exo-xyloglucanase (EC 3.2.1.-);b-1,3-mannanase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);b-rutinosidase /a-L-rhamnose-(1,6)-b-D-glucosidase (EC 3.2.1.-);glucomannan-specific endo-b-1,4-glucanase (EC 3.2.1.-);exo-b-1,4-mannobiohydrolase / mannobiose-producing exo-b-mannanase (EC 3.2.1.100);steryl b-glucosidase (EC 3.2.1.104);endoglycosylceramidase (EC 3.2.1.123);chitosanase (EC 3.2.1.132);b-D-galactofuranosidase (EC 3.2.1.146);b-primeverosidase (EC 3.2.1.149);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);endo-b-1,6-galactanase (EC 3.2.1.164);hesperidin 6-O-a-L-rhamnosyl-b-glucosidase (EC 3.2.1.168);b-glucosidase (EC 3.2.1.21);b-mannosidase (EC 3.2.1.25);xylan 1,4-b-xylosidase (EC 3.2.1.37);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,4-glucanase (EC 3.2.1.4);b-glucosylceramidase (EC 3.2.1.45);b-galactosylceramidase (EC 3.2.1.46);b-N-acetylhexosaminidase (EC 3.2.1.52);a-L-arabinofuranosidase (EC 3.2.1.55);exo-b-1,3-glucanase (EC 3.2.1.58);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);exo-b-1,4-glucanase / cellodextrinase (EC 3.2.1.74);endo-b-1,6-glucanase (EC 3.2.1.75);endo-b-1,4-mannanase (EC 3.2.1.78);endo-b-1,4-xylanase (EC 3.2.1.8)","beta-glucan,xyloglucan,glucomannan,galactomannan,galactan,arabinan,arabinogalactan,xylan,arabinoxylan,beta-mannan,chitosan,cellulose,rhamnogalacturonan,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage",DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein,Hemicellulose,Cellulose,Mannans_and_Heteromannans,Chitin",GH5,GH5_33,"NO KNOWN ACTIVITY; [retaining] b-1,4-mannan transglycosylase (EC 2.4.1.-);[retaining] arabinoxylan-specific endo-b-1,4-xylanase (EC 3.2.1.-);[retaining] exo-xyloglucanase (EC 3.2.1.-);b-1,3-mannanase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);b-rutinosidase /a-L-rhamnose-(1,6)-b-D-glucosidase (EC 3.2.1.-);glucomannan-specific endo-b-1,4-glucanase (EC 3.2.1.-);exo-b-1,4-mannobiohydrolase / mannobiose-producing exo-b-mannanase (EC 3.2.1.100);steryl b-glucosidase (EC 3.2.1.104);endoglycosylceramidase (EC 3.2.1.123);chitosanase (EC 3.2.1.132);b-D-galactofuranosidase (EC 3.2.1.146);b-primeverosidase (EC 3.2.1.149);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);endo-b-1,6-galactanase (EC 3.2.1.164);hesperidin 6-O-a-L-rhamnosyl-b-glucosidase (EC 3.2.1.168);b-glucosidase (EC 3.2.1.21);b-mannosidase (EC 3.2.1.25);xylan 1,4-b-xylosidase (EC 3.2.1.37);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,4-glucanase (EC 3.2.1.4);b-glucosylceramidase (EC 3.2.1.45);b-galactosylceramidase (EC 3.2.1.46);b-N-acetylhexosaminidase (EC 3.2.1.52);a-L-arabinofuranosidase (EC 3.2.1.55);exo-b-1,3-glucanase (EC 3.2.1.58);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);exo-b-1,4-glucanase / cellodextrinase (EC 3.2.1.74);endo-b-1,6-glucanase (EC 3.2.1.75);endo-b-1,4-mannanase (EC 3.2.1.78);endo-b-1,4-xylanase (EC 3.2.1.8)","beta-glucan,xyloglucan,glucomannan,galactomannan,galactan,arabinan,arabinogalactan,xylan,arabinoxylan,beta-mannan,chitosan,cellulose,rhamnogalacturonan,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Hemicellulose,GH5,GH5_34,"[retaining] arabinoxylan-specific endo-β-1,4-xylanase (EC 3.2.1.-)",arabinoxylan,yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Hemicellulose,GH5,GH5_35,"endo-b-1,4-xylanase (EC 3.2.1.8)","xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Fungi,Bacteria","Structural,Structural_or_Storage",DF,NSP,Mannans_and_Heteromannans,GH5,GH5_36,"endo-b-1,4-mannanase (EC 3.2.1.78)","beta-mannan,glucomannan,galactomannan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage,Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH5,GH5_37,"b-glycosidase (EC 3.2.1.-);endo-b-1,4-glucanase (EC 3.2.1.4);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);exo-b-1,4-glucanase / cellodextrinase (EC 3.2.1.74)","beta-glucan,xyloglucan,glucomannan,lichenin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage,Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH5,GH5_38,"b-glycosidase (EC 3.2.1.-);endo-b-1,4-glucanase (EC 3.2.1.4);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73)","beta-glucan,xyloglucan,glucomannan,lichenin",yes,,,,,,,,,,,,,,,,
